DateTime,AddedIPs,RemovedIPs
1623084025,1,0
1623127685,1,0
1623137292,1,2
1623171641,4,0
1623225667,3,2
1623302903,3,0
1623310042,1,3
1623346572,2,0
1623396486,2,1
1623433942,1,0
1623483382,1,0
1623521547,1,0
1623565449,2,0
1623569257,0,2
1623653053,2,0
1623656488,2,1
1623696985,3,0
1623742055,2,1
1623784809,2,0
1623828746,1,0
1623830169,0,1
1623872409,7,0
1623914821,1,2
1623916087,1,0
1623959773,1,0
1624001258,1,1
1624003467,1,0
1624047129,1,0
1624087631,2,0
1624090820,1,0
1624134487,5,0
1624174021,0,3
1624178169,2,0
1624221847,1,0
1624260683,2,0
1624309219,8,0
1624346872,2,0
1624353131,3,0
1624396819,1,0
1624433283,0,3
1624440734,1,0
1624484424,3,0
1624519654,1,0
1624571767,1,0
1624606080,1,1
1624615454,2,0
1624659129,2,0
1624692411,1,0
1624746736,4,0
1624778876,0,1
1624790410,1,0
1624834098,2,0
1624865776,1,0
1624878022,1,0
1624951691,0,1
1624965605,1,0
1625009297,5,0
1625038110,2,0
1625052980,1,0
1625096890,1,0
1625124484,0,2
1625140850,1,0
1625210887,1,1
1625272328,3,0
1625383632,0,2
1625403616,1,0
1625447535,5,0
1625470036,3,0
1625491206,11,0
1625534898,5,0
1625556470,0,1
1625578568,9,0
1625622247,9,0
1625642931,0,2
1625665950,8,0
1625709619,7,0
1625729274,3,0
1625753531,5,0
1625797210,4,0
1625815692,0,1
1625841141,3,0
1625884808,3,0
1625902275,0,1
1625928491,5,0
1625972165,6,0
1625988434,2,1
1626015865,1,0
1626059533,1,0
1626074852,1,3
1626103210,4,0
1626146899,5,0
1626161275,2,0
1626190572,5,0
1626234247,6,0
1626249734,1,2
1626277939,9,0
1626321859,3,0
1626334086,3,0
1626365533,4,0
1626409209,3,0
1626420454,0,1
1626496568,3,0
1626507678,0,1
1626583933,1,0
1626594070,0,1
1626671544,1,0
1626680469,1,0
1626715458,2,0
1626766099,0,1
1626803051,2,0
1626846736,2,0
1626852974,1,0
1626890434,3,0
1626938909,1,0
1626956411,4,0
1627000327,2,0
1627027581,0,1
1627044012,1,0
1627087696,1,0
1627112172,1,1
1627131370,1,0
1627175303,2,0
1627218971,1,0
1627284725,2,0
1627287690,1,0
1627328650,3,0
1627371310,1,2
1627416015,2,0
1627457328,2,1
1627459937,3,0
1627503607,2,0
1627543667,1,1
1627547294,1,0
1627590968,1,0
1627634648,3,0
1627678567,2,0
1627716982,1,1
1627722264,1,0
1627765927,1,0
1627803370,1,3
1627809852,1,0
1627853529,3,0
1627891264,1,2
1627897206,3,0
1627975663,3,2
1627984566,1,0
1628062041,1,0
1628071938,1,0
1628115607,1,0
1628159287,2,0
1628203211,3,0
1628235670,0,1
1628246896,1,0
1628290574,1,0
1628321271,1,0
1628334258,7,0
1628378170,4,0
1628421861,3,0
1628465535,1,0
1628494574,1,1
1628509449,1,0
1628553692,1,0
1628580500,1,0
1628597526,1,0
1628641447,1,0
1628666981,0,1
1628685123,2,0
1628728807,4,0
1628772498,2,0
1628816175,3,0
1628859867,3,0
1628903527,8,0
1628947206,2,0
1628990889,1,0
1629034568,1,0
1629078256,3,0
1629098836,0,2
1629121927,1,0
1629165614,1,0
1629185247,3,2
1629209306,1,0
1629252970,2,0
1629271630,1,0
1629296647,3,0
1629358041,1,0
1629384245,1,0
1629427937,2,0
1629444439,0,1
1629471606,3,0
1629515284,1,0
1629530813,0,1
1629558978,3,0
1629617198,1,1
1629690012,7,0
1629703684,1,0
1629733695,1,0
1629790115,2,6
1629821051,2,0
1629876440,6,4
1629908404,1,0
1629952331,4,0
1629962912,2,1
1629996006,2,0
1630039697,2,0
1630049228,1,2
1630149126,2,0
1630192810,1,0
1630236485,1,0
1630280177,3,0
1630308412,1,1
1630323847,2,0
1630367770,1,0
1630394795,2,1
1630411456,7,0
1630455129,2,0
1630481195,2,0
1630498808,4,0
1630542496,1,0
1630586178,1,0
1630629847,1,0
1630654006,0,4
1630673537,1,0
1630717204,2,0
1630740443,3,1
1630761130,1,0
1630805050,1,0
1630826837,2,1
1630848725,1,0
1630892658,2,0
1630913234,2,3
1630936324,1,0
1630999624,0,1
1631002097,4,0
1631045768,5,0
1631133124,1,0
1631177046,1,0
1631220738,2,0
1631352006,1,0
1631395929,1,0
1631439608,3,0
1631483286,5,0
1631526970,2,0
1631592744,4,0
1631636407,3,0
1631680101,5,0
1631723768,3,0
1631811620,0,351
1631855526,1,0
1631899216,2,0
1631943138,1,0
1631987047,2,0
1632030729,1,0
1632074421,2,0
1632162005,4,0
1632293049,3,0
1632336729,2,0
1632424330,3,0
1632468252,1,0
1632511925,1,0
1632555847,4,0
1632599526,1,0
1632687143,2,0
1632731048,2,0
1632774724,2,0
1632818646,2,0
1632862347,3,0
1632906034,1,0
1632949949,9,0
1632993851,7,0
1633037524,1,0
1633081223,1,0
1633125130,4,0
1633212505,1,0
1633299849,4,0
